bang,bang_ten,record_key,record_label,building_id,building_name,building_name_local,project_name,tower_codes,linked_case_id,is_target,country,city,district,address,latitude,longitude,developer,official_website,brochure_url,building_type,segment,status,year_launch,year_handover,num_towers,num_floors_above,num_basements,height_m,num_units_total,land_area_m2,gfa_m2,nfa_sale_m2,efficiency_ratio_pct,building_density_pct,green_area_pct,parking_ratio,unit_types_summary,unit_area_min_m2,unit_area_max_m2,units_per_floor_typical,dominant_layout_class,mix_by_bedroom_pct,handover_standard,handover_brands,amenity_count,amenity_highlights,architect_firm,architect_country,interior_designer,landscape_architect,architectural_style,design_concept,design_concept_keywords,massing_form,facade_material,facade_system,window_wall_ratio_pct,balcony_type,floor_to_ceiling_m,signature_features,green_cert,green_cert_level,awards,orientation_note,unit_type_id,type_code,type_name,layout_class,bedrooms,bathrooms,has_multipurpose_room,area_gross_m2,area_net_m2,area_basis_reported,ratio_net_gross_pct,area_balcony_m2,num_units_of_type,share_of_total_pct,facing,view_type,is_corner,floorplan_url,floorplan_file,room_id,room_code,room_type,room_label_raw,area_m2,width_m,length_m,has_window,is_ensuite,position_note,source_type,floor_plate_id,tower_code,floor_range,floor_label,units_per_floor,unit_type_mix,gfa_per_floor_m2,nfa_per_floor_m2,efficiency_per_floor_pct,corridor_type,num_elevators,num_elevators_service,units_per_elevator,num_stairs,core_position,floorplate_url,handover_id,applies_to_unit_type_id,item_code,item_category,item_name,item_spec,brand,brand_origin,is_included,note,amenity_id,amenity_category,amenity_name,amenity_name_local,location,floor_level,is_indoor,is_resident_free,operator_brand,is_highlight,price_id,market,price_min,price_max,price_avg,currency,price_unit,price_basis,includes_vat,includes_maintenance_fee,period,observed_at,sample_size,fx_rate_to_usd,price_usd_per_m2,listing_url,num_unit_types,num_rooms_captured,num_handover_items,num_amenities,num_price_obs,price_usd_per_m2_primary,price_usd_per_m2_secondary,secondary_premium_pct,price_growth_pct_yoy,sources_ok,extracted_at,confidence,source_urls,evidence_json
B1,building,city_tower_the_rainbow,CITY TOWER THE RAINBOW,city_tower_the_rainbow,CITY TOWER THE RAINBOW,シティタワー ザ・レインボー,,,,false,,,Quận Minato,"Kaigan 3-chome 14-18, Quận Minato, Tokyo",,,Sumitomo Realty & Development,,,chung_cu,,dang_xay,2026,2028,,34,1,,264,2368.3,,,,,,,1pn; 2pn; 3pn,42.77,72.53,,2pn,,,Oiles Corporation; Panasonic; SECOM; Sumitomo Realty & Development; Tokyo Gas,13,Sảnh sinh hoạt trên cao; Phòng lưu trú cho khách; Phòng tập thể hình; Sảnh làm việc từ xa; Phòng vui chơi trẻ em,,,,,,"Kaigan 3-chome, một phần của khu vực vịnh thuộc quận Minato. Tại vùng bờ biển êm đềm giữa trung tâm đô thị, mang đến một ốc đảo trên không sống cùng khung cảnh không gì thay thế được.",ốc đảo trên không; bờ biển yên bình giữa trung tâm; khu vực vịnh quận Minato,,kính Low-E,,,,,Kết cấu cách chấn (miễn chấn) dùng gối cao su nhiều lớp và gối trượt đàn hồi; Móng đóng 28 cọc xuống tầng chịu lực,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,29,13,1,,,,,2,2026-08-17,medium,https://wangan-mansion.jp/property/139; https://www.major7.net/Bukkendetail/00000010001259,"{""building_name_local"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""CITY TOWER THE RAINBOW（シティタワー ザ・レインボー）"", ""confidence"": ""high""}, ""district"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""所在地 東京都港区海岸三丁目14番18（地番）"", ""confidence"": ""high""}, ""address"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""所在地 東京都港区海岸三丁目14番18（地番）"", ""confidence"": ""high""}, ""developer"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""売主 住友不動産株式会社"", ""confidence"": ""high""}, ""building_type"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""この物件のこだわり タワーマンション 大規模マンション"", ""confidence"": ""high""}, ""status"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""完成時期 2027年9月中旬予定"", ""confidence"": ""high""}, ""year_launch"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""販売スケジュール 2026年9月下旬　販売開始予定"", ""confidence"": ""high""}, ""year_handover"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""引き渡し可能年月 2028年9月下旬"", ""confidence"": ""high""}, ""num_floors_above"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""構造および階数 鉄筋コンクリート造・地下1階地上34階建"", ""confidence"": ""high""}, ""num_basements"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""構造および階数 鉄筋コンクリート造・地下1階地上34階建"", ""confidence"": ""high""}, ""num_units_total"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""総戸数 264戸（その他住戸10戸（※１）含む）"", ""confidence"": ""high""}, ""land_area_m2"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""敷地面積 2,368.30㎡"", ""confidence"": ""high""}, ""design_concept"": {""url"": ""https://wangan-mansion.jp/property/139"", ""file"": ""03_ngu_n_4.txt"", ""snippet"": ""港区の湾岸エリアの一角を成す海岸三丁目。都心の穏やかなシーサイドに、かけがえのない風景と暮らす天空のオアシスを。"", ""confidence"": ""medium""}, ""design_concept_keywords"": {""url"": ""https://wangan-mansion.jp/property/139"", ""file"": ""03_ngu_n_4.txt"", ""snippet"": ""港区の湾岸エリアの一角を成す海岸三丁目。都心の穏やかなシーサイドに、かけがえのない風景と暮らす天空のオアシスを。"", ""confidence"": ""medium""}, ""facade_material"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""Low-Eガラス 住戸の開口部には省エネ効果に優れたLow-Eガラスを採用。"", ""confidence"": ""high""}, ""signature_features"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""免震構造 オイレス工業（株）の製作による積層ゴム支承および弾性すべり支承を使用した免震工法を採用。／28本の杭を打設"", ""confidence"": ""high""}}"
B2,unit_type,city_tower_the_rainbow__b_2,B-2,city_tower_the_rainbow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,city_tower_the_rainbow__b_2,B-2,,2pn,2,,,,72.53,thong_thuy,,17.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,https://www.major7.net/Bukkendetail/00000010001259,"{""type_code"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""タイプ B-2 間取り 2LDK+N+WIC"", ""confidence"": ""high""}, ""layout_class"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""タイプ B-2 間取り 2LDK+N+WIC"", ""confidence"": ""high""}, ""bedrooms"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""タイプ B-2 間取り 2LDK+N+WIC"", ""confidence"": ""high""}, ""area_net_m2"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""タイプ B-2 … 専有面積 72.53"", ""confidence"": ""high""}, ""area_basis_reported"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""専有面積 72.53"", ""confidence"": ""high""}, ""area_balcony_m2"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""タイプ B-2 … バルコニー面積 17.38"", ""confidence"": ""high""}}"
B2,unit_type,city_tower_the_rainbow__b_3,B-3,city_tower_the_rainbow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,city_tower_the_rainbow__b_3,B-3,,3pn,3,,,,72.53,thong_thuy,,17.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,https://www.major7.net/Bukkendetail/00000010001259,"{""type_code"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""タイプ B-3 間取り 3LDK+N+WIC"", ""confidence"": ""high""}, ""layout_class"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""タイプ B-3 間取り 3LDK+N+WIC"", ""confidence"": ""high""}, ""bedrooms"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""タイプ B-3 間取り 3LDK+N+WIC"", ""confidence"": ""high""}, ""area_net_m2"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""タイプ B-3 … 専有面積 72.53"", ""confidence"": ""high""}, ""area_basis_reported"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""専有面積 72.53"", ""confidence"": ""high""}, ""area_balcony_m2"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""タイプ B-3 … バルコニー面積 17.38"", ""confidence"": ""high""}}"
B2,unit_type,city_tower_the_rainbow__d_1,D-1,city_tower_the_rainbow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,city_tower_the_rainbow__d_1,D-1,,1pn,1,,,,42.77,thong_thuy,,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,https://www.major7.net/Bukkendetail/00000010001259,"{""type_code"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""タイプ D-1 間取り 1LDK+N+SIC"", ""confidence"": ""high""}, ""layout_class"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""タイプ D-1 間取り 1LDK+N+SIC"", ""confidence"": ""high""}, ""bedrooms"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""タイプ D-1 間取り 1LDK+N+SIC"", ""confidence"": ""high""}, ""area_net_m2"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""タイプ D-1 … 専有面積 42.77"", ""confidence"": ""high""}, ""area_basis_reported"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""専有面積 42.77"", ""confidence"": ""high""}, ""area_balcony_m2"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""タイプ D-1 … バルコニー面積 10.80"", ""confidence"": ""high""}}"
B2,unit_type,city_tower_the_rainbow__g_2,G-2,city_tower_the_rainbow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,city_tower_the_rainbow__g_2,G-2,,2pn,2,,,,57.82,thong_thuy,,28.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,https://www.major7.net/Bukkendetail/00000010001259,"{""type_code"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""タイプ G-2 間取り 2LDK+N+WIC"", ""confidence"": ""high""}, ""layout_class"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""タイプ G-2 間取り 2LDK+N+WIC"", ""confidence"": ""high""}, ""bedrooms"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""タイプ G-2 間取り 2LDK+N+WIC"", ""confidence"": ""high""}, ""area_net_m2"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""タイプ G-2 … 専有面積 57.82"", ""confidence"": ""high""}, ""area_basis_reported"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""専有面積 57.82"", ""confidence"": ""high""}, ""area_balcony_m2"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""タイプ G-2 … バルコニー面積 28.11"", ""confidence"": ""high""}}"
B2,unit_type,city_tower_the_rainbow__h_1,H-1,city_tower_the_rainbow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,city_tower_the_rainbow__h_1,H-1,,1pn,1,,,,43.37,thong_thuy,,11.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,https://www.major7.net/Bukkendetail/00000010001259,"{""type_code"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""タイプ H-1 間取り 1LDK+N+WIC+SIC"", ""confidence"": ""high""}, ""layout_class"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""タイプ H-1 間取り 1LDK+N+WIC+SIC"", ""confidence"": ""high""}, ""bedrooms"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""タイプ H-1 間取り 1LDK+N+WIC+SIC"", ""confidence"": ""high""}, ""area_net_m2"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""タイプ H-1 … 専有面積 43.37"", ""confidence"": ""high""}, ""area_basis_reported"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""専有面積 43.37"", ""confidence"": ""high""}, ""area_balcony_m2"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""タイプ H-1 … バルコニー面積 11.55"", ""confidence"": ""high""}}"
B2,unit_type,city_tower_the_rainbow__k_2,K-2,city_tower_the_rainbow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,city_tower_the_rainbow__k_2,K-2,,2pn,2,,,,68.14,thong_thuy,,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,https://www.major7.net/Bukkendetail/00000010001259,"{""type_code"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""タイプ K-2 間取り 2LDK+N+WIC"", ""confidence"": ""high""}, ""layout_class"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""タイプ K-2 間取り 2LDK+N+WIC"", ""confidence"": ""high""}, ""bedrooms"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""タイプ K-2 間取り 2LDK+N+WIC"", ""confidence"": ""high""}, ""area_net_m2"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""タイプ K-2 … 専有面積 68.14"", ""confidence"": ""high""}, ""area_basis_reported"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""専有面積 68.14"", ""confidence"": ""high""}, ""area_balcony_m2"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""タイプ K-2 … バルコニー面積 16.50"", ""confidence"": ""high""}}"
B5,handover_item,city_tower_the_rainbow__dau_bao_chay,Đầu báo cháy,city_tower_the_rainbow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,city_tower_the_rainbow__dau_bao_chay,,dau_bao_chay,an_ninh_pccc,Đầu báo cháy,"Khi xảy ra hỏa hoạn, đầu báo cháy sẽ kích hoạt; chuông báo động vang lên từ chuông cửa trong căn hộ (máy chính, máy phụ – chỉ căn tầng 34) và máy con trước cửa, đồng thời tự động báo về công ty bảo vệ và Trung tâm quản lý thiết bị Sumitomo Realty Building Service. Từ tầng 10 trở lên dùng chung với đầu phun sprinkler.",,,true,Máy phụ trong căn hộ chỉ có ở các căn tầng 34; từ tầng 10 trở lên dùng chung với sprinkler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,https://www.major7.net/Bukkendetail/00000010001259,"{""item_code"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""火災感知器"", ""confidence"": ""high""}, ""item_category"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""火災感知器 万一火災などが発生した場合は、火災感知器が作動。"", ""confidence"": ""high""}, ""item_name"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""火災感知器"", ""confidence"": ""high""}, ""item_spec"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""万一火災などが発生した場合は、火災感知器が作動。住戸内インターホン（親機、副親機（34階住戸のみ））と玄関前インターホン(子機)より警報が鳴り、室内外に異常をお知らせするとともに、警備会社、住友不動産建物サービス設備管理センターへ自動通報されます。※10階以上はスプリンクラーと兼用となります。"", ""confidence"": ""high""}, ""is_included"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""設備・構造 火災感知器"", ""confidence"": ""high""}, ""note"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""（親機、副親機（34階住戸のみ））…※10階以上はスプリンクラーと兼用となります。"", ""confidence"": ""high""}}"
B5,handover_item,city_tower_the_rainbow__may_nghien_rac_thuc_pham,Máy nghiền rác thực phẩm,city_tower_the_rainbow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,city_tower_the_rainbow__may_nghien_rac_thuc_pham,,may_nghien_rac_thuc_pham,bep,Máy nghiền rác thực phẩm,Hệ thống nghiền nhanh rác thực phẩm ngay tại bếp. Rác đã nghiền tại máy của từng căn hộ được xử lý làm sạch bằng thiết bị xử lý nước thải chuyên dụng trước khi thoát ra ngoài. Một số loại rác không xử lý được.,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,https://www.major7.net/Bukkendetail/00000010001259,"{""item_code"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""生ゴミディスポーザー"", ""confidence"": ""high""}, ""item_category"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""生ゴミを、キッチンですばやく粉砕処理できるシステムです。"", ""confidence"": ""high""}, ""item_name"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""生ゴミディスポーザー"", ""confidence"": ""high""}, ""item_spec"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""生ゴミを、キッチンですばやく粉砕処理できるシステムです。各住戸のディスポーザーで破砕された生ゴミは、専用の排水処理装置で浄化してから排水することができます。※一部処理できないものもあります。"", ""confidence"": ""high""}, ""is_included"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""設備・構造 … 生ゴミディスポーザー"", ""confidence"": ""high""}}"
B5,handover_item,city_tower_the_rainbow__phong_xong_hoi_mist,Xông hơi ướt (mist sauna),city_tower_the_rainbow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,city_tower_the_rainbow__phong_xong_hoi_mist,,phong_xong_hoi_mist,thiet_bi_ve_sinh,Xông hơi ướt (mist sauna),"So với phòng xông hơi khô thông thường, chế độ nhiệt độ thấp – độ ẩm cao giúp không bị ngột ngạt, thư giãn dễ chịu. Ngoài ra còn giúp làm mới quần áo và hạn chế nấm mốc trong phòng tắm, giảm gánh nặng việc nhà.",,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,https://www.major7.net/Bukkendetail/00000010001259,"{""item_code"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""ミストサウナ"", ""confidence"": ""high""}, ""item_category"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""ミストサウナ入浴で素敵なバスタイムを。"", ""confidence"": ""high""}, ""item_name"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""ミストサウナ"", ""confidence"": ""high""}, ""item_spec"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""一般のドライサウナと比べ、低温・高湿度で息苦しくなくリラックスして楽しめます。気分をリフレッシュしたいとき、お肌をやさしくいたわりたいとき、ミストサウナ入浴で素敵なバスタイムを。さらに、衣類のリフレッシュや浴室のカビ抑制により、家事の負担を軽減します。"", ""confidence"": ""high""}, ""is_included"": {""url"": ""https://www.major7.net/Bukkendetail/00000010001259"", ""file"": ""02_ngu_n_3.txt"", ""snippet"": ""設備・構造 … ミストサウナ"", ""confidence"": ""high""}}"
